rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
51,2023,2023-04-21,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
52,2023,2023-06-19,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
53,2023,2023-04-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
54,2023,2023-03-30,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
55,2023,2022-12-05,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
56,2023,2022-12-20,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
57,2023,2022-10-20,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
58,2023,2022-12-19,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
59,2023,2023-01-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
60,2023,2023-02-08,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,11493750.0000,18.0,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
61,2024,2024-06-26,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,CGI TECHNOLOGIES AND SOLUTIONS INC,HRIS REPLACEMENT,3000000.0000,18.0,"round_1m,june_round,peer_outlier",explained_benign,2,"CGI Technologies and Solutions Inc. is the US arm of CGI Inc., a major publicly traded Canadian IT/systems-integration firm; it is the long-standing integrator behind Arizona's statewide AFIS (Arizona Financial Information System) ERP and the HRIS replacement."
62,2025,2025-05-23,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,ZEITLIN AND ZEITLIN PC,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,12000000.0000,16.9,"round_1m,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Zeitlin & Zeitlin, P.C. is a Phoenix, AZ law firm (founded 1993, Dale & Dawn Zeitlin) specializing in eminent domain and inverse condemnation, representing property owners in government takings; principal Dale Zeitlin has handled over $100M in eminent-domain cases. ADOT payments to it are right-of-way acquisition/condemnation just-compensation payouts."
63,2024,2023-12-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,5420054.0000,16.9,"whole_dollar,true_duplicate,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
64,2024,2024-01-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,5420054.0000,16.9,"whole_dollar,true_duplicate,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
65,2021,2021-05-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,LAKEWOOD COMMUNITY,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1273000.0000,16.9,"whole_dollar,new_vendor_large,no_contract_named,offcontract,person_name_payee",screened_unreviewed,,
66,2024,2024-02-16,DEPT OF REVENUE,OTHER OPERATING EXPENDITURES,GCOM SOFTWARE LLC,INTEGRATED TAX SYSTEM MODERNIZATION,2266580.0000,16.8,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",explained_benign,3,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030)."
67,2024,2024-06-03,DEPT OF REVENUE,OTHER OPERATING EXPENDITURES,GCOM SOFTWARE LLC,INTEGRATED TAX SYSTEM MODERNIZATION,1699941.0000,16.8,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",explained_benign,3,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030)."
68,2023,2022-12-29,SENATE,OTHER OPERATING EXPENDITURES,KINELLA CONSTRUCTION LLC,OPERATING LUMP SUM APPROPRIATION,1500000.0000,16.8,"round_100k,sole_source,peer_outlier",genuine_review,4,"Kinella Construction LLC is a Phoenix Valley general contractor (Arizona registry L11030783) doing commercial, multifamily, and custom-home construction and remodels — a plausible vendor for Arizona Senate/House building repair and capital improvement work."
69,2024,2023-10-19,DEPT OF REVENUE,OTHER OPERATING EXPENDITURES,GCOM SOFTWARE LLC,INTEGRATED TAX SYSTEM MODERNIZATION,1333377.0000,16.8,"whole_dollar,new_vendor_dominant,new_vendor_large,peer_outlier",explained_benign,3,"GCOM Software LLC (now rebranded Voyatek) was selected by the Arizona Dept of Revenue in Aug 2023 for a ~15-year, ~$79.1M contract to build the STARS integrated tax system (RevHub platform, with subcontractor Kyndryl). The multi-year modernization is publicly documented and ongoing (completion ~2029-2030)."
70,2024,2024-05-07,DEPT OF CORRECTIONS,OTHER OPERATING EXPENDITURES,ROSEN BIEN GALVAN & GRUNFELD LLP,NON-HEALTH CARE AOOE,1300000.0000,16.8,"round_100k,peer_outlier,offcontract",screened_unreviewed,,
71,2024,2023-12-19,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,28323000.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
72,2024,2023-12-19,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,25648500.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
73,2025,2024-11-12,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16358700.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
74,2024,2024-03-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16230800.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
75,2024,2024-05-31,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,16230776.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
76,2025,2025-05-30,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15296900.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
77,2024,2024-03-11,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,13808179.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
78,2025,2025-03-12,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,13173300.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
79,2024,2023-10-31,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,12877600.0000,16.5,"whole_dollar,sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
