entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
PITNEY BOWES,4,5,245,80148716,176,63002695,5,7572900,5,1,11.2,2016,2025,8,DEPT OF ADMINISTRATION|DEPT OF REVENUE|INDUSTRIAL COMMISSION|DEPT OF TRANSPORTATION|SUPREME COURT|DEPT OF ECONOMIC SECURITY|DEPT OF PUBLIC SAFETY|DEPT OF CHILD SAFETY,offcontract|peer_outlier|round_100k,false_positive_marker,1,"Pitney Bowes Inc. (NYSE: PBI) is a publicly traded global shipping, mailing, and postage-meter company; state agencies routinely prefund Pitney Bowes postage meters in round lump sums, which matches every pattern in this data.",PITNEY BOWES
SUNLAND ASPHALT & CONSTRUCTION INC,2,2,459,251939182,251,169588985,6,7565286,6,1,9.8,2019,2025,8,DEPT OF TRANSPORTATION|INDUSTRIAL COMMISSION|DEPT OF FORESTRY AND FIRE MANAGEMENT|DEPT OF ADMINISTRATION|DEPT OF PUBLIC SAFETY|PARKS BOARD|DEPT OF EMERGENCY AND MILITARY AFFAIRS|GAME AND FISH DEPARTMENT,offcontract|whole_dollar|no_contract_named|peer_outlier|round_100k,,,,SUNLAND ASPHALT & CONSTRUCTION INC
GILA RIVER NRCD,1,1,1,7500000,1,7500000,1,7500000,0,1,19.5,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|round_100k|peer_outlier|no_contract_named|june_round,,,,GILA RIVER NRCD
CALIFORNIA GOVERNORS OFFICE OF EMERGENCY SERVICES (CALOES),1,1,1,7250000,1,7250000,1,7250000,0,1,12.6,2021,2021,1,DEPT OF HEALTH SERVICES,offcontract|peer_outlier|new_vendor_large,,,,CALIFORNIA GOVERNORS OFFICE OF EMERGENCY SERVICES (CALOES)
FONDOMONTE ARIZONA LLC,1,1,1,7000000,1,7000000,1,7000000,0,1,28.0,2025,2025,1,LAND DEPARTMENT,new_vendor_dominant|new_vendor_large|peer_outlier|sole_source|offcontract,genuine_review,5,"Fondomonte Arizona LLC is the US subsidiary of Saudi dairy giant Almarai, growing alfalfa on Arizona state land to ship home as cattle feed; its cheap leases and unmetered groundwater pumping drew national scrutiny, an Arizona Auditor General investigation, and lease terminations/non-renewals by Gov. Hobbs in 2023. Public reporting indicates the $7M was a state-law-required reimbursement to Fondomonte for lease improvements.",FONDOMONTE ARIZONA LLC
ARIZONA JEWISH HISTORICAL SOCIETY,1,1,1,7000000,1,7000000,1,7000000,0,1,13.5,2025,2025,1,DEPT OF EDUCATION,peer_outlier|round_1m,genuine_review,4,"The Arizona Jewish Historical Society received a $7M FY2025 state appropriation (via the Dept of Education) to help build the Hilton Family Holocaust Education Center in Phoenix, which broke ground in 2025 and is slated to open in 2027 with ~$38M total raised; a condition was free admission for Arizona students.",ARIZONA JEWISH HISTORICAL SOCIETY
FORESIGHT GROUP HOLDINGS I LLC,3,3,7,8011729,7,8011729,2,6782007,5,1,7.8,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|short_tenure_vendor|no_contract_named,,,,FORESIGHT GROUP HOLDINGS I LLC
GILA RIVER INDIAN COMM,1,2,29,18182769,9,12051533,4,6696984,3,1,12.6,2016,2022,2,DEPT OF WATER RESOURCES|AHCCCS,offcontract|whole_dollar|no_contract_named|peer_outlier,,,,GILA RIVER INDIAN COMM
DICKINSON WRIGHT PLLC,1,1,23,22824569,20,22065347,3,6667245,3,1,6.5,2016,2020,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named,,,,DICKINSON WRIGHT PLLC
JACKSON WHITE PC,2,2,16,17506107,13,14979220,2,6623305,5,1,9.1,2018,2025,2,DEPT OF TRANSPORTATION|STATE TREASURER,offcontract|whole_dollar|no_contract_named|round_100k,,,,JACKSON WHITE PC
PROPERTY RESERVE ARIZONA LLC,1,1,4,11520840,4,11520840,1,6544535,0,1,7.8,2016,2017,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|peer_outlier,,,,PROPERTY RESERVE ARIZONA LLC
CITY OF MESA,1,3,240,121369516,1,6500000,1,6500000,0,1,8.4,2016,2025,12,GOVERNOR'S OFFICE OF HIGHWAY SAFETY|CRIMINAL JUSTICE COMMISSION|DEPT OF ADMINISTRATION|INDUSTRIAL COMMISSION|DEPT OF TRANSPORTATION|STATE TREASURER|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF PUBLIC SAFETY|DEPT OF HOUSING|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF HOMELAND SECURITY|DEPT OF FORESTRY AND FIRE MANAGEMENT,round_100k,,,,CITY OF MESA
JE DUNN CONSTRUCTION,1,2,67,35321362,52,29371114,3,6413854,4,1,9.1,2016,2023,2,DEPT OF CORRECTIONS|DEPT OF ADMINISTRATION,whole_dollar|peer_outlier|offcontract,,,,JE DUNN CONSTRUCTION
PERKINS COIE LLP,1,2,6,7478158,2,6511608,1,6381656,1,1,6.0,2016,2023,3,DEPT OF ADMINISTRATION|NAVIGABLE STREAM ADJUDICATION COMMISSION|DEPT OF CORRECTIONS,vendor_dependency|no_contract_named|sole_source|offcontract,,,,PERKINS COIE LLP
VIDLER WATER CO,1,1,1,6322188,1,6322188,1,6322188,0,1,15.0,2025,2025,1,DEPT OF WATER RESOURCES,new_vendor_large|no_contract_named|short_tenure_vendor|offcontract|peer_outlier,,,,VIDLER WATER CO
MOTOROLA SOLUTIONS INC,1,2,157,80336583,51,55118405,3,6171335,17,1,9.8,2016,2025,10,DEPT OF CORRECTIONS|DEPT OF FORESTRY AND FIRE MANAGEMENT|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF PUBLIC SAFETY|GAME AND FISH DEPARTMENT|DEPT OF EMERGENCY AND MILITARY AFFAIRS|PARKS BOARD|DEPT OF LIQUOR LICENSES AND CONTROL|DEPT OF TRANSPORTATION|DEPT OF AGRICULTURE,peer_outlier|whole_dollar|offcontract|true_duplicate,false_positive_marker,2,"Motorola Solutions Inc. (NYSE: MSI, headquartered near Chicago) is the dominant U.S. provider of public-safety land-mobile-radio (P25) systems; multi-year, multi-million-dollar statewide radio contracts with state police/DOT agencies are its core line of business.",MOTOROLA SOLUTIONS INC
IBM CREDIT LLC,1,1,12,7879504,2,6148384,2,6148384,0,1,12.0,2018,2018,1,DEPT OF ADMINISTRATION,peer_outlier|round_100k,,,,IBM CREDIT LLC
STEWART TITLE AGENCY,1,1,1,6018628,1,6018628,1,6018628,0,1,15.6,2024,2024,1,PARKS BOARD,no_contract_named|short_tenure_vendor|offcontract|peer_outlier,,,,STEWART TITLE AGENCY
TEACH FOR AMERICA,1,2,18,11248330,15,10300000,5,5800000,8,1,7.5,2016,2025,2,DEPT OF EDUCATION|GOVERNOR'S OFFICE,round_100k|round_1m|whole_dollar,,,,TEACH FOR AMERICA
CORIZON INC,2,1,800,654074193,108,59149518,5,5691006,33,1,19.5,2016,2019,1,DEPT OF CORRECTIONS,whole_dollar|offcontract|true_duplicate|round_100k|june_round,,,,CORIZON INC
DIGNITY HEALTH,1,2,15,9730588,3,5649881,3,5649881,0,1,22.4,2021,2025,4,DEPT OF HEALTH SERVICES|BOARD OF NURSING|DEPT OF EMERGENCY AND MILITARY AFFAIRS|GOVERNOR'S OFFICE,peer_outlier|offcontract|whole_dollar|new_vendor_large|true_duplicate,,,,DIGNITY HEALTH
WSP USA INC,1,2,247,90412027,200,75842431,5,5569042,22,1,9.0,2017,2025,1,DEPT OF TRANSPORTATION,offcontract|peer_outlier|no_contract_named|whole_dollar,,,,WSP USA INC
CHILDRENS RIGHTS INC,1,1,1,5400000,1,5400000,1,5400000,0,1,12.6,2021,2021,1,DEPT OF ADMINISTRATION,round_100k|offcontract|new_vendor_large,,,,CHILDRENS RIGHTS INC
MARICOPA TRANSPORTATION SERVICES INC,1,1,2,5270465,2,5270465,2,5270465,0,1,13.0,2022,2022,1,DEPT OF TRANSPORTATION,short_tenure_vendor|offcontract|no_contract_named|new_vendor_large|manual_rail_disc,,,,MARICOPA TRANSPORTATION SERVICES INC
ARIZONA SCIENCE CENTER,1,1,15,9252590,5,6686429,2,5186429,3,1,6.0,2021,2025,3,DEPT OF TRANSPORTATION|GOVERNOR'S OFFICE|DEPT OF EDUCATION,round_100k|peer_outlier,,,,ARIZONA SCIENCE CENTER
GEO SECURE SERVICES LLC,1,1,728,700892470,490,316532136,3,4908189,164,1,10.5,2020,2025,2,DEPT OF CORRECTIONS|GOVERNOR'S OFFICE,whole_dollar|offcontract|true_duplicate,explained_benign,3,"GEO Secure Services LLC is a subsidiary of The GEO Group (NYSE: GEO), a publicly traded private-prison and detention operator that runs Arizona facilities including ASP-Kingman, Florence West, and Phoenix West under long-standing Arizona Department of Corrections contracts.",GEO SECURE SERVICES LLC
OFF MADISON AVE,1,2,243,72679860,187,57814080,4,4677985,84,1,19.6,2016,2025,4,GAME AND FISH DEPARTMENT|ATTORNEY GENERAL (DEPT OF LAW)|OFFICE OF TOURISM|DEPT OF HEALTH SERVICES,sole_source|whole_dollar|vendor_dependency|offcontract|round_100k,,,,OFF MADISON AVE
ADVANTAGE MAILING INC,1,1,14,8317667,5,5118729,3,4652590,0,1,6.0,2023,2025,2,SECRETARY OF STATE (DEPT OF STATE)|CITIZENS CLEAN ELECTION COMMISSION,peer_outlier|whole_dollar,,,,ADVANTAGE MAILING INC
FOCALPOINTK12 INC,1,1,9,7017200,8,6867200,1,4637248,7,1,12.0,2024,2025,1,DEPT OF EDUCATION,new_vendor_large|short_tenure_vendor|round_100k|peer_outlier,,,,FOCALPOINTK12 INC
COCHISE COUNTY,1,7,766,271520232,2,4742000,1,4500000,0,1,6.0,2016,2025,17,DEPT OF TRANSPORTATION|SENATE|STATE TREASURER|DEPT OF HOMELAND SECURITY|DEPT OF EDUCATION|GOVERNOR'S OFFICE|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF HEALTH SERVICES|DEPT OF CORRECTIONS|DEPT OF ADMINISTRATION|CRIMINAL JUSTICE COMMISSION|DEPT OF PUBLIC SAFETY|SUPREME COURT|SCHOOL FACILITIES BOARD|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF HOUSING|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,whole_dollar|round_100k,,,,COCHISE COUNTY
FANN CONTRACTING INC,1,2,558,448250072,369,292917471,2,4467804,5,1,6.5,2016,2025,2,GAME AND FISH DEPARTMENT|DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier,,,,FANN CONTRACTING INC
CIGNA HEALTHCARE OF ARIZONA,1,1,1,4369797,1,4369797,1,4369797,0,1,15.0,2022,2022,1,DEPT OF HEALTH SERVICES,no_contract_named|peer_outlier|new_vendor_large|offcontract|short_tenure_vendor,,,,CIGNA HEALTHCARE OF ARIZONA
GILA RIVER INDIAN COMMUNITY,1,2,19,15004450,17,12889372,3,4284482,2,1,8.4,2022,2025,3,DEPT OF ADMINISTRATION|DEPT OF WATER RESOURCES|DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|peer_outlier,,,,GILA RIVER INDIAN COMMUNITY
PREMIER LAB SOLUTIONS,1,1,12,7346292,8,5700266,3,4194801,1,1,10.5,2021,2024,1,DEPT OF HEALTH SERVICES,whole_dollar|peer_outlier|round_1m|new_vendor_large,,,,PREMIER LAB SOLUTIONS
AGWEST FARM CREDIT FLCA,1,1,2,4414354,2,4414354,1,4162736,1,1,10.4,2024,2024,1,DEPT OF TRANSPORTATION,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,AGWEST FARM CREDIT FLCA
AG PROPERTY SOLUTIONS LLC,1,1,6,5199149,6,5199149,2,4065480,4,1,7.8,2025,2025,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|short_tenure_vendor|no_contract_named,,,,AG PROPERTY SOLUTIONS LLC
WILLIAM CHARLES CONSTRUCTION COMPANY LLC,1,1,57,25986504,57,25986504,3,3979323,7,1,10.4,2022,2025,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|no_contract_named|whole_dollar,,,,WILLIAM CHARLES CONSTRUCTION COMPANY LLC
ODYSSEY INTERNATIONAL,1,1,7,7423185,6,7297741,2,3848441,1,1,12.6,2020,2021,1,DEPT OF HEALTH SERVICES,offcontract|peer_outlier|whole_dollar,,,,ODYSSEY INTERNATIONAL
BERRY RIDDELL LLC,1,1,6,5568866,6,5568866,2,3844033,4,1,10.4,2024,2024,1,DEPT OF TRANSPORTATION,short_tenure_vendor|offcontract|no_contract_named,,,,BERRY RIDDELL LLC
FIRST AMERICAN TITLE INSURANCE COMPANY A CAL CORP,1,1,6,4412152,6,4412152,2,3800000,3,1,9.1,2019,2024,1,DEPT OF TRANSPORTATION,round_100k|offcontract|whole_dollar,,,,FIRST AMERICAN TITLE INSURANCE COMPANY A CAL CORP
PM INDUSTRIAL HOLDINGS LP,1,1,2,4000000,2,4000000,1,3772000,1,1,14.3,2021,2021,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|new_vendor_large|short_tenure_vendor|no_contract_named,,,,PM INDUSTRIAL HOLDINGS LP
INTERNATIONAL BUSINESS MACHINES CORP,1,2,306,135030321,74,33841624,2,3731242,28,1,10.5,2016,2025,7,DEPT OF TRANSPORTATION|ARIZONA STATE RETIREMENT SYSTEM (ASRS)|DEPT OF CHILD SAFETY|DEPT OF ECONOMIC SECURITY|SUPREME COURT|AHCCCS|DEPT OF ADMINISTRATION,whole_dollar|true_duplicate|offcontract|round_100k|peer_outlier,,,,INTERNATIONAL BUSINESS MACHINES CORP
SCOTTSDALE HEALTHCARE FOUNDATION,1,1,1,3691336,1,3691336,1,3691336,0,1,19.5,2021,2021,1,DEPT OF HEALTH SERVICES,short_tenure_vendor|whole_dollar|no_contract_named|offcontract|new_vendor_large,,,,SCOTTSDALE HEALTHCARE FOUNDATION
JACOBS ENGINEERING GROUP INC,1,2,105,27729806,97,26743128,3,3647604,8,1,13.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|peer_outlier|true_duplicate|no_contract_named|whole_dollar,,,,JACOBS ENGINEERING GROUP INC
WW CLYDE,1,1,7,5586408,7,5586408,2,3560782,5,1,7.8,2025,2025,1,DEPT OF TRANSPORTATION,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,WW CLYDE
MARICOPA ASSOC OF GOVNTS,1,1,245,88257955,4,5232201,2,3560782,2,1,6.0,2016,2022,1,DEPT OF TRANSPORTATION,peer_outlier,,,,MARICOPA ASSOC OF GOVNTS
VALLEYWISE HEALTH MEDICAL,1,1,6,5831625,6,5831625,1,3433814,5,1,15.0,2024,2025,1,DEPT OF CHILD SAFETY,offcontract|true_duplicate|new_vendor_large|peer_outlier|short_tenure_vendor,,,,VALLEYWISE HEALTH MEDICAL
QUALTRICS LLC,1,1,6,4330453,6,4330453,2,3243453,4,1,19.5,2021,2022,1,DEPT OF HEALTH SERVICES,offcontract|new_vendor_large|whole_dollar|short_tenure_vendor|peer_outlier,,,,QUALTRICS LLC
VHS ACQUISITION SUBSIDIARY NUMBER 8 INC,1,1,6,4171069,1,3212996,1,3212996,0,1,13.5,2021,2025,2,DEPT OF HEALTH SERVICES|BOARD OF NURSING,whole_dollar|no_contract_named|offcontract|peer_outlier,,,,VHS ACQUISITION SUBSIDIARY NUMBER 8 INC
STEWARD HEALTHCARE SYSTEM LLC,1,1,14,8159698,14,8159698,1,3169009,1,1,8.4,2020,2022,1,DEPT OF HEALTH SERVICES,offcontract|whole_dollar|peer_outlier,,,,STEWARD HEALTHCARE SYSTEM LLC
59TH & I-10 INC,1,1,2,3360000,2,3360000,1,3168480,1,1,6.5,2016,2016,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|no_contract_named,,,,59TH & I-10 INC
LAWYERS TITLE OF ARIZONA INC,1,1,23,8187832,10,4230796,2,3147159,0,1,14.3,2017,2020,4,DEPT OF ADMINISTRATION|DEPT OF HOUSING|GAME AND FISH DEPARTMENT|DEPT OF TRANSPORTATION,offcontract|whole_dollar|peer_outlier|no_contract_named|round_1m,,,,LAWYERS TITLE OF ARIZONA INC
FASTENAL COMPANY,1,1,34,16613583,20,11130726,2,3121707,2,1,9.8,2020,2025,2,DEPT OF HEALTH SERVICES|DEPT OF CORRECTIONS,whole_dollar|true_duplicate|peer_outlier,,,,FASTENAL COMPANY
PIMA AGENCY AK-CHIN INDIAN COMMUNITY,1,2,8,9546003,7,8449820,1,3107370,4,1,12.6,2018,2023,1,DEPT OF WATER RESOURCES,whole_dollar|offcontract|peer_outlier,,,,PIMA AGENCY AK-CHIN INDIAN COMMUNITY
"THE NEWPORT GROUP 37\, LLC",1,1,3,3445588,3,3445588,1,3103614,2,1,7.8,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|short_tenure_vendor|no_contract_named,,,,"THE NEWPORT GROUP 37\, LLC"
MANAGEMENT AND TRAINING CORP,1,2,227,96554635,119,44499090,1,3023217,3,1,7.5,2016,2024,1,DEPT OF CORRECTIONS,whole_dollar|offcontract|no_contract_named,,,,MANAGEMENT AND TRAINING CORP
MILLER PITT FELDMAN & MCANALLY PC,1,1,7,3949900,5,3600000,1,3000000,2,1,9.8,2022,2024,1,DEPT OF ADMINISTRATION,offcontract|round_100k|round_1m,,,,MILLER PITT FELDMAN & MCANALLY PC
ACCENTURE LLP,1,2,356,89212478,123,37007903,2,2971322,16,1,10.5,2018,2025,7,DEPT OF TRANSPORTATION|OFFICE OF ECONOMIC OPPORTUNITY|DEPT OF PUBLIC SAFETY|LOTTERY COMMISSION|AHCCCS|DEPT OF ECONOMIC SECURITY|DEPT OF ADMINISTRATION,whole_dollar|true_duplicate|offcontract|peer_outlier|round_100k,,,,ACCENTURE LLP
"IVALUA\, INC.",1,1,6,4440197,4,3808749,2,2959691,2,1,16.5,2018,2018,1,DEPT OF ADMINISTRATION,new_vendor_large|short_tenure_vendor|whole_dollar|peer_outlier,,,,"IVALUA\, INC."
ACME CONCRETE PAVING INC,1,1,14,12989794,14,12989794,1,2956768,1,1,7.8,2024,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|short_tenure_vendor|new_vendor_large,,,,ACME CONCRETE PAVING INC
CENTER FOR THE FUTURE OF ARIZONA,1,1,13,9183209,4,6091260,1,2950926,1,1,10.5,2022,2024,2,GOVERNOR'S OFFICE|DEPT OF EDUCATION,whole_dollar|peer_outlier,,,,CENTER FOR THE FUTURE OF ARIZONA
ABBOTT RAPID DX NORTH AMERICA LLC,1,2,86,35057965,84,33514227,1,2851352,47,1,12.6,2021,2023,1,DEPT OF HEALTH SERVICES,offcontract|true_duplicate|whole_dollar|new_vendor_large|peer_outlier,,,,ABBOTT RAPID DX NORTH AMERICA LLC
SEMA CONSTRUCTION INC,2,1,40,26463051,40,26463051,2,2841110,6,1,6.5,2022,2025,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|no_contract_named,,,,SEMA CONSTRUCTION INC
MADDOX DEFENSE INC,1,1,31,28046707,24,24588313,1,2787748,8,1,8.4,2020,2022,1,DEPT OF HEALTH SERVICES,offcontract|peer_outlier|whole_dollar,,,,MADDOX DEFENSE INC
FIDELITY NATIONAL INFORMATION SERVICES,1,1,43,13740328,8,4414554,1,2764281,0,1,6.0,2021,2025,1,DEPT OF ECONOMIC SECURITY,offcontract|whole_dollar|peer_outlier,,,,FIDELITY NATIONAL INFORMATION SERVICES
NESBITT CONTRACTING CO INC,1,2,136,57428526,64,26000406,2,2762915,7,1,9.8,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|round_100k|peer_outlier,,,,NESBITT CONTRACTING CO INC
WALGREEN CO,1,1,12,6802761,12,6802761,2,2752179,10,1,15.0,2022,2022,1,DEPT OF HEALTH SERVICES,short_tenure_vendor|new_vendor_large|offcontract|no_contract_named|whole_dollar,,,,WALGREEN CO
ROSEN BIEN GALVAN & GRUNFELD LLP,1,1,3,2864775,3,2864775,2,2650000,1,1,16.8,2023,2024,1,DEPT OF CORRECTIONS,offcontract|peer_outlier|new_vendor_large|round_100k,,,,ROSEN BIEN GALVAN & GRUNFELD LLP
"SUNDT/KIEWIT, A JOINT VENTURE",1,1,80,78418155,38,39784012,2,2557525,2,1,6.5,2017,2021,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar|peer_outlier,,,,"SUNDT/KIEWIT, A JOINT VENTURE"
CLERK US DISTRICT COURT,1,1,2,2545000,2,2545000,2,2545000,0,1,14.0,2018,2021,1,DEPT OF CORRECTIONS,offcontract|peer_outlier|whole_dollar|round_100k,,,,CLERK US DISTRICT COURT
TUCSON MEDICAL CENTER,1,3,132,128548035,8,4053990,1,2500000,2,1,15.0,2016,2025,5,DEPT OF HEALTH SERVICES|BOARD OF NURSING|DEPT OF CHILD SAFETY|AHCCCS|DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract|true_duplicate|whole_dollar|round_100k|peer_outlier,,,,TUCSON MEDICAL CENTER
SHELL-O-MATIC,1,1,7,4431533,6,4236556,2,2473892,2,1,6.5,2017,2020,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named|new_vendor_large,,,,SHELL-O-MATIC
SONORAN SOUTH CONSTRUCTORS,1,1,2,2439632,2,2439632,2,2439632,0,1,13.0,2025,2025,1,DEPT OF TRANSPORTATION,short_tenure_vendor|new_vendor_large|offcontract|true_duplicate|no_contract_named,,,,SONORAN SOUTH CONSTRUCTORS
THE LAVIDGE CO,2,2,40,14392678,5,3341593,1,2427393,3,1,10.5,2017,2025,6,DEPT OF HEALTH SERVICES|GOVERNOR'S OFFICE|DEPT OF EDUCATION|DEPT OF PUBLIC SAFETY|DEPT OF HOUSING|SECRETARY OF STATE (DEPT OF STATE),whole_dollar|true_duplicate|round_100k|june_round|peer_outlier,,,,THE LAVIDGE CO
BERENDO PROPERTY,1,1,1,2402600,1,2402600,1,2402600,0,1,14.3,2023,2023,1,DEPT OF TRANSPORTATION,whole_dollar|no_contract_named|new_vendor_large|offcontract|short_tenure_vendor,,,,BERENDO PROPERTY
OUTFRONT MEDIA LLC,1,2,6,3621108,6,3621108,1,2401821,4,1,11.7,2017,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|short_tenure_vendor|whole_dollar|no_contract_named,,,,OUTFRONT MEDIA LLC
AMES CONSTRUCTION INC,1,2,257,248434687,194,187760722,2,2389109,2,1,6.5,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,AMES CONSTRUCTION INC
COPPER STATE RUBBER OF ARIZONA INC,1,1,11,5741838,9,5395386,2,2339875,2,1,7.8,2017,2019,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|short_tenure_vendor|no_contract_named,,,,COPPER STATE RUBBER OF ARIZONA INC
CORVEL CORPORATION,2,2,406,62022428,310,49055605,2,2184617,5,1,9.0,2016,2025,1,DEPT OF ADMINISTRATION,offcontract|whole_dollar|peer_outlier|no_contract_named,,,,CORVEL CORPORATION
MARSH USA,1,1,13,6148349,7,3501076,2,2174586,4,1,7.0,2023,2025,1,DEPT OF ADMINISTRATION,offcontract|whole_dollar,,,,MARSH USA
MARICOPA-STANFIELD IRRIGATION & DRAINAGE DISTRICT,1,1,41,20500718,22,11651924,2,2139823,8,1,12.0,2021,2025,2,DEPT OF WATER RESOURCES|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA,offcontract|whole_dollar|round_100k|new_vendor_large|no_contract_named,,,,MARICOPA-STANFIELD IRRIGATION & DRAINAGE DISTRICT
JHAWAR INDUSTRIES INC,1,1,10,4028302,10,4028302,2,2090416,5,1,13.0,2017,2019,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|short_tenure_vendor|new_vendor_large|true_duplicate,,,,JHAWAR INDUSTRIES INC
MCNEIL BROTHERS INC,1,1,80,42919469,35,16135687,2,2081428,8,1,12.6,2020,2025,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|peer_outlier|true_duplicate,,,,MCNEIL BROTHERS INC
LEXIA LEARNING SYSTEMS LLC,1,1,12,10695101,11,10585936,1,2078400,6,1,9.0,2022,2024,1,DEPT OF EDUCATION,whole_dollar|new_vendor_large,,,,LEXIA LEARNING SYSTEMS LLC
